symbol,company_name,series,primary_index,all_indices
CARBORUNIV,Carborundum Universal Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CARTRADE,Cartrade Tech Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CASTROLIND,Castrol India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CCL,CCL Products (I) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CDSL,Central Depository Services (India) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CEATLTD,Ceat Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CEMPRO,Cemindia Projects Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CENTRALBK,Central Bank of India,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CESC,CESC Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CGCL,Capri Global Capital Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CGPOWER,CG Power and Industrial Solutions Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
CHALET,Chalet Hotels Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CHENNPETRO,Chennai Petroleum Corporation Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CHOICEIN,Choice International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CIEINDIA,CIE Automotive India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CIPLA,Cipla Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
CLEAN,Clean Science and Technology Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
COALINDIA,Coal India Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
COCHINSHIP,Cochin Shipyard Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
COFORGE,Coforge Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
COHANCE,Cohance Lifesciences Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
COLPAL,Colgate Palmolive (India) Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
CONCOR,Container Corporation of India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
CONCORDBIO,Concord Biotech Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
COROMANDEL,Coromandel International Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
CPPLUS,Aditya Infotech Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CRAFTSMAN,Craftsman Automation Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CREDITACC,CreditAccess Grameen Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CRISIL,CRISIL Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CUB,City Union Bank Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
CUMMINSIND,Cummins India Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
CYIENT,Cyient Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DABUR,Dabur India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
DALBHARAT,Dalmia Bharat Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
DATAPATTNS,Data Patterns (India) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DCMSHRIRAM,DCM Shriram Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DEEPAKNTR,Deepak Nitrite Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DELHIVERY,Delhivery Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DEVYANI,Devyani International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
DIVISLAB,Divi's Laboratories Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
DIXON,Dixon Technologies (India) Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
DLF,DLF Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
DMART,Avenue Supermarts Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
DOMS,DOMS Industries Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
