symbol,company_name,series,primary_index,all_indices
JSWENERGY,JSW Energy Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
JSWINFRA,JSW Infrastructure Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
JSWSTEEL,JSW Steel Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
JUBLFOOD,Jubilant Foodworks Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
JUBLINGREA,Jubilant Ingrevia Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JUBLPHARMA,Jubilant Pharmova Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JWL,Jupiter Wagons Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JYOTICNC,Jyoti CNC Automation Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KAJARIACER,Kajaria Ceramics Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KALYANKJIL,Kalyan Jewellers India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
KARURVYSYA,Karur Vysya Bank Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KAYNES,Kaynes Technology India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KEC,Kec International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KEI,KEI Industries Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
KFINTECH,Kfin Technologies Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KIMS,Krishna Institute of Medical Sciences Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KIRLOSENG,Kirloskar Oil Eng Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KOTAKBANK,Kotak Mahindra Bank Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
KPIL,Kalpataru Projects International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
KPITTECH,KPIT Technologies Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
KPRMILL,K.P.R. Mill Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
LATENTVIEW,Latent View Analytics Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
LAURUSLABS,Laurus Labs Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
LEMONTREE,Lemon Tree Hotels Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
LENSKART,Lenskart Solutions Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
LGEINDIA,LG Electronics India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
LICHSGFIN,LIC Housing Finance Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
LICI,Life Insurance Corporation of India,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
LINDEINDIA,Linde India Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
LLOYDSME,Lloyds Metals And Energy Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
LODHA,Lodha Developers Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
LT,Larsen & Toubro Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
LTF,L&T Finance Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
LTFOODS,LT Foods Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
LTM,LTM Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
LTTS,L&T Technology Services Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
LUPIN,Lupin Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
M&M,Mahindra & Mahindra Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MAHABANK,Bank of Maharashtra,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
MANAPPURAM,Manappuram Finance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MANKIND,Mankind Pharma Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MAPMYINDIA,C.E. Info Systems Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MARICO,Marico Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MARUTI,Maruti Suzuki India Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
MAXHEALTH,Max Healthcare Institute Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
MCX,Multi Commodity Exchange of India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MEDANTA,Global Health Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
MEESHO,Meesho Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MFSL,Max Financial Services Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MGL,Mahanagar Gas Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MINDACORP,Minda Corporation Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MMTC,MMTC Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MOTHERSON,Samvardhana Motherson International Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
