iter	Logloss
0	0.6916197458
1	0.6903050087
2	0.6890967937
3	0.6878577668
4	0.6867558669
5	0.685740602
6	0.6848266997
7	0.6839746428
8	0.6831364773
9	0.6823785998
10	0.6817089456
11	0.6811073298
12	0.680545964
13	0.6800307363
14	0.6795288569
15	0.6790487417
16	0.6786160165
17	0.6782251473
18	0.6778655523
19	0.6774367008
20	0.6770661791
21	0.6767629826
22	0.6764499579
23	0.6761687878
24	0.6758942283
25	0.6755840059
26	0.6753087555
27	0.6750610938
28	0.6748571683
29	0.6746050266
30	0.6743958972
31	0.6741967527
32	0.674002694
33	0.6737937093
34	0.6736212923
35	0.6734357496
36	0.6732619306
37	0.6730926633
38	0.6729031985
39	0.6727522784
40	0.6725219575
41	0.6723286152
42	0.6721726229
43	0.6720558908
44	0.6719186103
45	0.6717948852
46	0.671666738
47	0.6715066677
48	0.6713414908
49	0.6711884249
50	0.6710682784
51	0.6709435141
52	0.6708029565
53	0.6707161268
54	0.6705966793
55	0.6704884339
56	0.6703563686
57	0.6702574705
58	0.6701516714
59	0.670054055
60	0.6699661462
61	0.6698653082
62	0.6697508802
63	0.6696358949
64	0.6695672047
65	0.6695015803
66	0.6694054296
67	0.6692794251
68	0.6691701852
69	0.6690627076
70	0.6689267062
71	0.6688285986
72	0.6686530548
73	0.6685278886
74	0.6684088843
75	0.6682558822
76	0.6681697128
77	0.6680724261
78	0.6679941911
79	0.6678942601
80	0.6678047375
81	0.6676953461
82	0.6676125742
83	0.6675129317
84	0.6674355497
85	0.6673292904
86	0.6672595429
87	0.6671525995
88	0.6670850992
89	0.6669876291
90	0.6669047008
91	0.6668212697
92	0.6667406275
93	0.6666740731
94	0.6665208535
95	0.6663921691
96	0.6663078677
97	0.6662502413
98	0.6661581463
99	0.6660927044
100	0.665985295
101	0.6659198347
102	0.6658323826
103	0.6656486907
104	0.6655853737
105	0.6655086949
106	0.6654321367
107	0.6653410913
108	0.6652766019
109	0.6651845144
110	0.6651091686
111	0.6650388317
112	0.6649348136
113	0.6648758225
114	0.6648215371
115	0.6647209203
116	0.6646476333
117	0.6645707721
118	0.6644931511
119	0.6644028475
120	0.6643321101
121	0.6642207131
122	0.6641605017
123	0.6640888009
124	0.6640237338
125	0.6639496029
126	0.6638822826
127	0.6638264996
128	0.6637577622
129	0.6636943926
130	0.6635900146
131	0.663538223
132	0.6634670868
133	0.6633772525
134	0.6632532889
135	0.6631755858
136	0.6630953324
137	0.6629962302
138	0.6629175264
139	0.6628767447
140	0.6627809151
141	0.6627050926
142	0.6626271235
143	0.662561695
144	0.6624772821
145	0.6624252519
146	0.6623208873
147	0.6622566354
148	0.6622021885
149	0.6621244555
150	0.6620650621
151	0.6620142783
152	0.6619590081
153	0.661897221
154	0.6618458784
155	0.6617173008
156	0.6616542689
157	0.6616026453
158	0.6615480321
159	0.6614965612
160	0.6614384407
161	0.6613996573
162	0.661334783
163	0.6612528057
164	0.6611939308
165	0.6611463106
166	0.6610850492
167	0.6610062077
168	0.6609405328
169	0.6608770558
170	0.6608080411
171	0.6607409779
172	0.6606850788
173	0.6606401151
174	0.6605695905
175	0.6604992473
176	0.6604338382
177	0.6603633464
178	0.6602770163
179	0.6602232575
180	0.6601785578
181	0.6601064137
182	0.6600398235
183	0.6599806211
184	0.6599487195
185	0.6598975441
186	0.6598645277
187	0.659795852
188	0.6597446301
189	0.6597372918
190	0.659692802
191	0.659647312
192	0.659554465
193	0.6594948633
194	0.6594511167
195	0.6593922572
196	0.6593208709
197	0.6592452438
198	0.6592169463
199	0.6591569815
200	0.6590840191
201	0.6590247629
202	0.6589841587
203	0.6589585099
204	0.6588962766
205	0.6588557577
206	0.6587379007
207	0.6586886668
208	0.6586246347
209	0.6585621133
210	0.6585051563
211	0.6584683197
212	0.6584108737
213	0.6583594195
214	0.6582949921
215	0.6582360489
216	0.6581746634
217	0.6580775532
218	0.6580102082
219	0.6579325761
220	0.657883998
221	0.6578091176
222	0.6577754826
223	0.6577114023
224	0.6576569569
225	0.6576072263
226	0.6575287858
227	0.6574585831
228	0.657409449
229	0.6573430296
230	0.6572698493
231	0.657208301
232	0.657165662
233	0.6570875678
234	0.6570261839
235	0.6569803268
236	0.6569252681
237	0.6568540311
238	0.656810925
239	0.6567334924
240	0.6566748972
241	0.6565427787
242	0.6564754771
243	0.6563650112
244	0.6562911901
245	0.656241995
246	0.6561498485
247	0.6561009825
248	0.6560406026
249	0.655992629
250	0.6559458212
251	0.6558842942
252	0.6558300887
253	0.6557785209
254	0.6556810352
255	0.6556310051
256	0.6555665086
257	0.6554680075
258	0.6554103942
259	0.6553556351
260	0.6553006835
261	0.6552303966
262	0.6551363745
263	0.6550872789
264	0.6550193072
265	0.6549590279
266	0.6548725481
267	0.6548251338
268	0.6547610445
269	0.6546905361
270	0.6545944718
271	0.6545032625
272	0.6544092489
273	0.6543433938
274	0.6542619243
275	0.6541987353
276	0.6541153112
277	0.6540259567
278	0.6539649677
279	0.653922323
280	0.6538030322
281	0.6537163894
282	0.6536423821
283	0.6535717347
284	0.6535112478
285	0.6534591097
286	0.6533655939
287	0.6533030491
288	0.6532310816
289	0.65317605
290	0.6531034473
291	0.6530229965
292	0.6529519629
293	0.6528749064
294	0.6527946754
295	0.6527082695
296	0.6526072905
297	0.6525233612
298	0.6524544777
299	0.6523823454
300	0.6522811823
301	0.6522191112
302	0.6521684083
303	0.652080718
304	0.6520159075
305	0.651935261
306	0.651836159
307	0.6517618795
308	0.6516898232
309	0.6516108416
310	0.6515332508
311	0.6514733155
312	0.6514029638
313	0.6513391568
314	0.6512679834
315	0.6511598812
316	0.6510514211
317	0.6509850261
318	0.6508980935
319	0.6507901626
320	0.6506920966
321	0.6506241513
322	0.6505643175
323	0.6505028942
324	0.6504557649
325	0.6504094458
326	0.6503432269
327	0.6502998419
328	0.65023933
329	0.6501793806
330	0.6501118346
331	0.6500601674
332	0.6499658461
333	0.6498806504
334	0.6498144228
335	0.6497233434
336	0.6496664814
337	0.6496225845
338	0.6495505696
339	0.6494627982
340	0.6493955613
341	0.6493122961
342	0.6492562675
343	0.6491970673
344	0.6490979993
345	0.6490324061
346	0.6489384373
347	0.6488761061
348	0.6488353777
349	0.6487690074
350	0.6487070869
351	0.6486242672
352	0.6485712855
353	0.6485227834
354	0.6484727692
355	0.6483893132
356	0.6483181065
357	0.6482356395
358	0.6481973573
359	0.6481329522
360	0.6480391055
361	0.6479673274
362	0.6478999982
363	0.6478341671
364	0.6477569912
365	0.6476495494
366	0.6475909681
367	0.6475234051
368	0.6474535792
369	0.6473908429
370	0.6473429337
371	0.6472714341
372	0.6472256028
373	0.6471677916
374	0.6471122201
375	0.6470549771
376	0.6469735312
377	0.6469180861
378	0.6468204066
379	0.6467445081
380	0.6466661131
381	0.6465847763
382	0.6465067324
383	0.6464502648
384	0.646396188
385	0.6463506701
386	0.646283158
387	0.646212776
388	0.6461405004
389	0.6460833881
390	0.6460302806
391	0.6459689955
392	0.6459194114
393	0.6458341215
394	0.6457530524
395	0.6456988409
396	0.6456488363
397	0.6455956764
398	0.6454885857
399	0.6454358247
