date,cash,positions_value,total_equity
2026-07-03,1000000.00,0.00,1000000.00
2026-07-06,2188.26,987671.29,989859.55
2026-07-07,2188.26,968681.62,970869.88
2026-07-08,99723.74,854231.32,953955.06
2026-07-09,99723.74,872443.14,972166.88
2026-07-10,199453.34,779965.54,979418.89
2026-07-13,199453.34,779962.16,979415.51
2026-07-14,423438.76,550975.26,974414.02
2026-07-15,423438.76,554336.33,977775.09
2026-07-16,423438.76,557156.88,980595.64
2026-07-17,423438.76,547543.47,970982.23
2026-07-20,423438.76,548315.17,971753.93
2026-07-21,522189.86,449925.69,972115.55
2026-07-22,522189.86,444180.88,966370.75
2026-07-23,522189.86,438702.99,960892.86
2026-07-24,962073.81,0.00,962073.81
2026-07-27,962073.81,0.00,962073.81
2026-07-28,962073.81,0.00,962073.81
2026-07-29,962073.81,0.00,962073.81
2026-07-30,962073.81,0.00,962073.81
2026-07-31,962073.81,0.00,962073.81
2026-08-03,962073.81,0.00,962073.81
2026-08-04,962073.81,0.00,962073.81
2026-08-05,962073.81,0.00,962073.81
2026-08-06,962073.81,0.00,962073.81
2026-08-07,962073.81,0.00,962073.81
2026-08-10,962073.81,0.00,962073.81
2026-08-11,962073.81,0.00,962073.81
2026-08-12,962073.81,0.00,962073.81
2026-08-13,962073.81,0.00,962073.81
2026-08-14,962073.81,0.00,962073.81
